Category,API Layer Type,Role,Key Features / Controls,Metrics / Evidence,Tools / Components,Purpose / Outcome
Security,Security & Access,Policy & Prevention,"Authentication, Authorization, mTLS, JWT, SIWE, OAuth2, Rate-Limiting, API Keys, CORS","Auth success rate, Token TTL, Failed logins %, Rate-limit counters","Keycloak, josekit, OAuth2 Proxy, OPA, Envoy, Axum",Enforce identity and access policies for all requests
Security,Validation & Transformation,Policy & Prevention,"JSON Schema validation, sanitization, pattern enforcement, input filtering, compression","400/422 error ratio, schema coverage, malformed payload rate","AJV, schemars, serde_json, Spectral, Postman",Prevent malformed or malicious payloads from entering the system
Security,Governance & Policy Enforcement,Policy & Prevention,"OPA/Rego rules, allow/deny policies, RBAC policy bundles, SBOM attestations","Policy pass %, signature verification %, approval latency","OPA, Cosign, in-toto, Sigstore, SBOM APIs",Ensure API behavior follows security and compliance rules
Protection,Gateway,Runtime Containment,"Rate limiting, request routing, circuit breakers, retries, load balancing","Gateway uptime %, retry success rate, rate-limit violation count","Envoy, NGINX, Linkerd, Traefik, Axum Gateway",Prevent overloads and isolate faults during runtime
Protection,Execution & Business Logic,Runtime Containment,"Service orchestration, transaction relay, workflow execution, cache proxy, bulkhead isolation","API latency p95, transaction success %, retry efficiency","Axum, Tower, Diesel ORM, Redis, ethers-rs",Contain failures and limit blast radius at runtime
Protection,Integration & Event Layer,Runtime Containment,"WebSockets, Pub/Sub, streaming control, rate adaptation, webhook authentication","Event delivery %, dropped message %, throughput","Kafka, NATS, SSE, WebSocket, RabbitMQ",Prevent overflow and ensure controlled event flow
Detection & Response,Integration & Event Layer,Observation & Reaction,"Event subscriptions, webhook alerts, blockchain log listeners, telemetry streams","Alert latency, event accuracy %, dropped events","Kafka, NATS, Web3 WS, Forta, OpenTelemetry",Detect anomalies and trigger incident response
Detection & Response,Observability & Feedback,Observation & Reaction,"JSON structured logging, tracing, metrics, /metrics and /healthz endpoints","Trace coverage %, log completeness %, MTTR","Prometheus, Grafana, ELK, OpenTelemetry, ClickHouse",Observe and measure all API interactions for incident response
Resilience & Recovery,Gateway,Restoration & Continuity,"Health checks, circuit breaker, failover routing, backup routes","Uptime %, failover success rate, retry count","Envoy, NGINX, Linkerd, Axum",Maintain API availability and restore operations after failure
Resilience & Recovery,Execution & Business Logic,Restoration & Continuity,"State recovery, transaction replay, workflow retry, compensation handlers","Recovery time (RTO), replay success %, restored tx count","Temporal, Axum, Diesel, ethers-rs",Restore system state and continue business process after interruption
Governance & Compliance,Governance & Policy Enforcement,Accountability & Trust,"Policy approval endpoints, signed evidence APIs, audit logs, SBOM delivery","Signed evidence %, SBOM integrity hash, policy approval count","OPA, Cosign, in-toto, Sigstore, SBOM APIs",Provide auditable and provable governance via API evidence
Governance & Compliance,Observability & Feedback,Accountability & Trust,"Audit log exposure, compliance dashboards, tamper-proof logging","Audit log completeness %, evidence verification success %","Grafana, Loki, Elasticsearch, ClickHouse",Ensure accountability and regulatory compliance via transparent logs
Testing (Web3),Validation & Transformation,Verification & Proof,"Schema fuzzing, property-based validation, payload coverage, 422 envelope tests","Pass/fail %, schema drift count, coverage %","AJV, Schemathesis, jsonschema-rs, Spectral",Verify correctness of API schema contracts
Testing (Web3),Testing & Simulation,Verification & Proof,"E2E tests, Dredd contract validation, RPC fuzzing, performance benchmarks","Regression diff %, latency deviation, fuzz coverage %","Dredd, k6, Goose, Postman, Vegeta",Prove that API and Web3 interactions behave deterministically and safely
Testing (Web3),Security & Access,Verification & Proof,"AuthZ fuzzing, invalid token replay, expired JWT validation, SIWE signature checks","Rejection rate %, replay success %, auth test coverage %","Postman, OPA, josekit, WalletConnect test harness",Verify security and identity behavior under attack simulation
